,Heading,Authors,Summary,Link
42,Thermal emittance mapping of a cesium telluride photocathode using microlens-arrays based laser pattern beam,Lianmin Zheng; Jiahang Shao; Eric E. Wisniewski; John G. Power; Yingchao Du; Wanming Liu; Charles E. Whiteford; Manoel Conde; Scott Doran; Chunguang Jing; Chuanxiang Tang; Wei Gai,"The thermal emittance map of the cesium telluride photocathode is measured using a laser pattern beam produced by microlens arrays. A pair of MLAs are employed to produce a periodic transverse pattern beam, consisting of a two-dimensional array of laser beamlets. The laser pattern beam was illuminated onto the cesium telluride cathode to produce an electron pattern beam. The rms beamsize of the el…
        ▽ More",https://arxiv.org/abs/1906.08074
43,Large Fermi Surface Expansion through Anisotropic c-f Mixing in the Semimetallic Kondo Lattice System CeBi,Peng Li; Zhongzheng Wu; Fan Wu; Chunyu Guo; Yi Liu; Haijiang Liu; Zhe Sun; Ming Shi; Fanny Rodolakis; Jessica L McChesney; Chao Cao; Frank Steglich; Huiqiu Yuan; Yang Liu,"Using angle-resolved photoemission spectroscopy (ARPES) and resonant ARPES, we report evidence of strong anisotropic conduction-f electron mixing (c-f mixing) in CeBi by observing a largely expanded Ce-5d pocket at low temperature, with no change in the Bi-6p bands. The Fermi surface (FS) expansion is accompanied by a pronounced spectral weight transfer from the local 4f 0 peak of Ce (correspondin…
        ▽ More",https://arxiv.org/abs/1906.07402
44,Barack's Wife Hillary: Using Knowledge-Graphs for Fact-Aware Language Modeling,Robert L. Logan IV; Nelson F. Liu; Matthew E. Peters; Matt Gardner; Sameer Singh,"Modeling human language requires the ability to not only generate fluent text but also encode factual knowledge. However, traditional language models are only capable of remembering facts seen at training time, and often have difficulty recalling them. To address this, we introduce the knowledge graph language model (KGLM), a neural language model with mechanisms for selecting and copying facts fr…
        ▽ More",https://arxiv.org/abs/1906.07241
45,Bandgap closing at the screw dislocations of WS2 spirals,Xin Zhang; Kaige Hu; Yifei Li; Guohua Wei; Nathaniel P. Stern; Min Pan; Xiao Li; Hong Luo; Lei Liu,"Van der Waals (vdW) layered transition metal dichalcogenides (TMDCs) materials are emerging as one class of quantum materials holding novel optical and electronic properties. In particular, the bandgap tunability attractive for nanoelectronics technology have been observed up to 1.1 eV when applying dielectric screening or grain boundary engineering. Here we present the experimental observation of…
        ▽ More",https://arxiv.org/abs/1906.07076
46,NLH: A Blind Pixel-level Non-local Method for Real-world Image Denoising,Yingkun Hou; Jun Xu; Mingxia Liu; Guanghai Liu; Li Liu; Fan Zhu; Ling Shao,"Non-local self similarity (NSS) is a powerful prior of natural images for image denoising. Most of existing denoising methods employ similar patches, which is a patch-level NSS prior. In this paper, we take one step forward by introducing a pixel-level NSS prior, i.e., searching similar pixels across a non-local region. This is motivated by the fact that finding closely similar pixels is more feas…
        ▽ More",https://arxiv.org/abs/1906.06834
47,STAR: A Structure and Texture Aware Retinex Model,Jun Xu; Mengyang Yu; Li Liu; Fan Zhu; Dongwei Ren; Yingkun Hou; Haoqian Wang; Ling Shao,"Retinex theory is developed mainly to decompose an image into the illumination and reflectance components by analyzing local image derivatives. In this theory, larger derivatives are attributed to the changes in piece-wise constant reflectance, while smaller derivatives are emerged in the smooth illumination. In this paper, we propose to utilize the exponentiated derivatives (with an exponent $γ$)…
        ▽ More",https://arxiv.org/abs/1906.06690
48,DocRED: A Large-Scale Document-Level Relation Extraction Dataset,Yuan Yao; Deming Ye; Peng Li; Xu Han; Yankai Lin; Zhenghao Liu; Zhiyuan Liu; Lixin Huang; Jie Zhou; Maosong Sun,"Multiple entities in a document generally exhibit complex inter-sentence relations, and cannot be well handled by existing relation extraction (RE) methods that typically focus on extracting intra-sentence relations for single entity pairs. In order to accelerate the research on document-level RE, we introduce DocRED, a new dataset constructed from Wikipedia and Wikidata with three features: (1) D…
        ▽ More",https://arxiv.org/abs/1906.06127
49,Robust magnetoresistance in TaAs2 under pressure up to about 37 GPa,Hongyuan Wang; Cuiying Pei; Hao Su; Zhenhai Yu; Mingtao Li; Wei Xia; Xiaolei Liu; Qifeng Liang; Jinggeng Zhao; Chunyin Zhou; Na Yu; Xia Wang; Zhiqiang Zou; Lin Wang; Yanpeng Qi; Yanfeng Guo,"The extremely large magnetoresistance (XMR) in nonmagnetic semimetals has inspired growing interest owing to both intriguing physics and potential applications. We report results of synchrotron X-ray diffraction (SXRD) and electrical transport measurements on TaAs2 under pressure up to ~ 37 GPa, which revealed an anisotropic compression of the unit cell, formation of unusual As-As bonds above 9.5…
        ▽ More",https://arxiv.org/abs/1906.06012
50,Critical Incidents in Multicultural Training: An Examination of Student Experiences,"Coleman, M. Nicole ","This study examined critical incidents in graduate students' multicultural counseling training. Trainees (N=59) were asked to describe a critical incident and their multicultural training environment by responding to a critical incident protocol and the multicultural environment  Inventory-Revised (D. B. Pope-Davis, W. M. Liu, J. Nevitt, & R. L.…",https://eric.ed.gov/?q=m+l+liu&id=EJ750100
51,"STEM21: Equity in Teaching and Learning to Meet Global Challenges of Standards, Engagement and Transformation. Social Justice across Contexts in Education","Barnes-Johnson, Joy, Ed.; Johnson, Janelle M., Ed. ","""STEM21: Equity in Teaching and Learning to Meet Global Challenges of Standards, Engagement and Transformation"" is designed to contribute to discourses about how STEM teaching and learning can become more equitable, serving the needs of readers across the STEM educational spectrum. ""STEM21"" is meant to problematize the status…",https://eric.ed.gov/?q=m+l+liu&id=ED591317
52,Promoting Ethnic Diversity and Multiculturalism in Higher Education. Advances in Higher Education and Professional Development (AHEPD) Book Series,"Blummer, Barbara, Ed.; Kenton, Jeffrey M., Ed.; Wiatrowski, Michael, Ed. ","As the world becomes more navigable, opportunities arise for people to live in different countries and for students to study internationally. Such capabilities require universities and other institutions of higher learning to accommodate cultural diversity. ""Promoting Ethnic Diversity and Multiculturalism in Higher Education"" is an…",https://eric.ed.gov/?q=m+l+liu&id=ED589775
53,Teaching Games for Understanding Conference Supplement from the German Sport University,"Research Quarterly for Exercise and Sport, 2016","By bringing together the national German sports game community and an international scientific community in a joint conference, the 6th International Teaching Games for Understanding Conference (TGfU) Meets the 10th German Sports Games Symposium of the German Association of Sport Science (DVS), held July 25-27, 2016, at the German Sport University…",https://eric.ed.gov/?q=m+l+liu&id=EJ1108109
54,Teach for America. What Works Clearinghouse Intervention Report,"What Works Clearinghouse, 2016","""Teach For America"" (""TFA"") is a highly selective route to teacher certification that aims to place non-traditionally trained teachers in high-need public schools. The What Works Clearinghouse (WWC) identified seven studies of teachers trained through ""TFA"" that both fall within the scope of the Teacher Training,…",https://eric.ed.gov/?q=m+l+liu&id=ED568903
55,"Educational Media and Technology Yearbook, Volume 39","Orey, Michael, Ed.; Branch, Robert Maribe, Ed. ","This book is an annual publication entering its 40th year. The series represents current trend and issues in the field of educational communications and technology, journals and other periodicals associated with the field, and the academic programs that prepare instructional technology professionals. This volume features a section on Learning,…",https://eric.ed.gov/?q=m+l+liu&id=ED594284
56,APA Handbook of Giftedness and Talent. APA Handbooks in Psychology. APA Reference Books Collection,"Pfeiffer, Steven I., Ed. ","This handbook incorporates the most recent thinking and cutting-edge research from a wide range of fields related to gifted education, including developmental and social psychology, the neurosciences, cognitive science, and education. It consists of six sections: (1) History and global perspectives on the gifted field and talent development; (2)…",https://eric.ed.gov/?q=m+l+liu&id=ED583676
57,"The Growing Out-of-School Time Field: Past, Present, and Future. Current Issues in Out-of-School Time","Malone, Helen Janc, Ed.; Donahue, Tara, Ed. ","The Information Age Publishing new book series, Current Issues in Out-of-School Time, is designed with a purpose to disseminate original research and promising practices that further the Out-of-School Time (OST) field. This first book sets the foundation on which the series rests upon, by offering an analysis of the progress made since the 2000s,…",https://eric.ed.gov/?q=m+l+liu&id=ED588532
58,An Overview of the 2015 State of the States,"Weiler, Spencer C.; Hartman, William ","In February 2015 a large group of scholars, researchers, and practitioners interested in P-20 finance issues gathered in St. Louis, Missouri, for the National Education Finance Academy's annual conference, on February 25-27, 2015 to discuss, among multiple topics, the state of P-20 finance in all 50 states. There were 35 states represented in the…",https://eric.ed.gov/?q=m+l+liu&id=EJ1082352
59,A Chinese Perspective on Teaching and Learning. Routledge Series on Schools and Schooling in Asia,"Eng, Betty C., Ed. ","Bringing together educators from a range of backgrounds--psychology, sociology, social work, counseling, and teaching--this volume shows how Asian cultural values and beliefs can provide a lens through which to understand and envision how curriculum and pedagogy can be creatively adapted, not only in a local Chinese classroom context, but in a…",https://eric.ed.gov/?q=m+l+liu&id=ED527850
60,Promoting Global Literacy Skills through Technology- Infused Teaching and Learning,"Keengwe, Jared, Ed.; Mbae, Justus G., Ed.; Ngigi, Simon K., Ed. ","The increasing internationalization of today's classrooms calls for learning institutions to prepare students for success in an interdependent and technologically-advanced world. Faculty who are competent in multiple 21st century skills are best equipped to engage students in curricula that are relevant, transformative, and engaging across content…",https://eric.ed.gov/?q=m+l+liu&id=ED564031
61,"Commission for International Adult Education (CIAE) of the American Association for Adult and Continuing Education (AAACE). Proceedings of the 2016 International Pre-Conference (65th, Albuquerque, New Mexico, November 6-8, 2016)","Boucouvalas, Marcie, Ed.; Avoseh, Mejai, Ed. ","The Commission on International Adult Education (CIAE) of the American Association for Adult and Continuing Education (AAACE) provides a forum for the discussion of international issues related to adult education in general, as well as adult education in various countries around the globe. The following purposes summarize the work of the…",https://eric.ed.gov/?q=m+l+liu&id=ED581791
62,Leisure Matters: The State and Future of Leisure Studies,"Walker, Gordon J., Ed.; Scott, David, Ed.; Stodolska, Monika, Ed. ","""Leisure Matters: The State and Future of Leisure Studies"" updates and expands Jackson and Burton's ""Mapping the Past, Charting the Future"" (1989) and ""Leisure Studies: Prospects for the Twenty-First Century"" (1999). The need to do so was driven by the significant new developments in the leisure studies field and the…",https://eric.ed.gov/?q=m+l+liu&id=ED591829
63,"2015 Cataloging Hidden Special Collections and Archives Unconference and Symposium: Innovation, Collaboration, and Models. Proceedings of the CLIR Cataloging Hidden Special Collections and Archives Symposium (Philadelphia, Pennsylvania, March 12-13, 2015)","Oestreicher, Cheryl, Ed. ","The 2015 CLIR Unconference & Symposium was the capstone event to seven years of grant funding through CLIR's Cataloging Hidden Special Collections and Archives program. These proceedings group presentations by theme. Collaborations provides examples of multi-institutional projects, including one international collaboration; Student and Faculty…",https://eric.ed.gov/?q=m+l+liu&id=ED561290
64,Advancing Teacher Education and Curriculum Development through Study Abroad Programs,"Rhodes, Joan A., Ed.; Milby, Tammy M., Ed. ","The number of English language students in American schools has dramatically increased in recent years, creating a greater awareness of cross-cultural issues and considerations in education. Globalization as well as an increase in international exchange student programs has proven that pre-service teachers can benefit from traveling abroad and…",https://eric.ed.gov/?q=m+l+liu&id=ED564028
